_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,at_least_how_many_bicycles_are_loaded_on_the_bus,nobus,route,vehicle,at_least_how_many_bicycles_are_loaded_on_the_bus_gold,image,nobus_gold,route_gold,vehicle_gold
692698288,3/22/2015 0:03,TRUE,1595542804,,3/22/2015 0:00,TRUE,neodev,1,21353389,LVA,25,Riga,77.38.251.50,1,FALSE,48,2735,1,G0010561,FALSE,48,2735
692698288,3/22/2015 0:09,TRUE,1595545090,,3/22/2015 0:07,TRUE,neodev,0.75,30627106,BIH,1,Tuzla,31.176.194.54,1,FALSE,48,2735,1,G0010561,FALSE,48,2735
692698288,3/22/2015 0:11,TRUE,1595545591,,3/22/2015 0:08,TRUE,neodev,1,31167780,COL,2,Medellín,200.24.16.87,1,FALSE,48,2735,1,G0010561,FALSE,48,2735
692698288,3/22/2015 0:13,TRUE,1595546538,,3/22/2015 0:09,TRUE,clixsense,1,31565527,TUR,34,Istanbul,78.180.132.247,1,FALSE,48,2735,1,G0010561,FALSE,48,2735
692700654,3/22/2015 0:03,FALSE,1595542437,,3/22/2015 0:00,TRUE,clixsense,1,31336178,BIH,,,31.223.156.242,1,FALSE,48,2735,,G0010561,,,
692700654,3/22/2015 0:03,FALSE,1595542813,,3/22/2015 0:00,TRUE,neodev,1,21353389,LVA,25,Riga,77.38.251.50,1,FALSE,48,2735,,G0010561,,,
692700654,3/22/2015 0:06,FALSE,1595544034,,3/22/2015 0:04,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,1,FALSE,48,2735,,G0010561,,,
692700654,3/22/2015 0:09,FALSE,1595545035,,3/22/2015 0:03,TRUE,neodev,1,28728128,ARG,,,181.111.23.71,1,FALSE,48,2735,,G0010561,,,
692700654,3/22/2015 0:11,FALSE,1595545865,,3/22/2015 0:10,TRUE,elite,1,25409262,PAK,5,Karachi,182.178.47.87,1,FALSE,48,2735,,G0010561,,,
692700654,3/22/2015 0:12,FALSE,1595546104,,3/22/2015 0:09,TRUE,clixsense,1,31505928,BGR,62,Svishtov,77.78.57.16,1,FALSE,48,2735,,G0010561,,,
692700654,3/22/2015 0:14,FALSE,1595546774,,3/22/2015 0:12,TRUE,clixsense,1,29549258,TUR,16,Bursa,78.172.1.176,1,FALSE,48,2735,,G0010561,,,
692698244,3/22/2015 0:07,FALSE,1595544543,,3/22/2015 0:02,TRUE,neodev,1,28315076,VEN,,,190.206.88.164,1,FALSE,48,2735,,G0010568,,,
692698244,3/22/2015 0:09,FALSE,1595544942,,3/22/2015 0:00,TRUE,neodev,1,31969790,MUS,17,Floréal,197.226.131.31,1,FALSE,48,2735,,G0010568,,,
692698244,3/22/2015 0:13,FALSE,1595546328,,3/22/2015 0:09,TRUE,clixsense,1,30517365,MAR,,,197.130.175.223,1,FALSE,48,2735,,G0010568,,,
692698244,3/22/2015 0:13,FALSE,1595546402,,3/22/2015 0:11,TRUE,clixsense,1,30959343,DOM,5,Santo Domingo,190.167.0.229,1,FALSE,48,2735,,G0010568,,,
692698287,3/22/2015 0:02,FALSE,1595542114,,3/22/2015 0:00,TRUE,clixsense,1,29304462,TUR,17,Çanakkale,85.107.237.173,1,FALSE,48,2735,,G0020570,,,
692698287,3/22/2015 0:03,FALSE,1595542798,,3/22/2015 0:00,TRUE,elite,1,25409262,PAK,5,Karachi,182.178.47.87,1,FALSE,48,2735,,G0020570,,,
692698287,3/22/2015 0:05,FALSE,1595543348,,3/22/2015 0:02,TRUE,neodev,0,23786472,IND,2,Tirupati,117.204.56.248,1,FALSE,NA,,,G0020570,,,
692698287,3/22/2015 0:07,FALSE,1595544417,,3/22/2015 0:03,TRUE,clixsense,1,30367752,TUR,34,Istanbul,92.44.79.216,1,FALSE,542,2735,,G0020570,,,
692698287,3/22/2015 0:08,FALSE,1595544665,,3/22/2015 0:05,TRUE,elite,1,30087800,BIH,1,Sarajevo,77.78.221.140,1,FALSE,48,2735,,G0020570,,,
692698287,3/22/2015 0:09,FALSE,1595545140,,3/22/2015 0:07,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,1,FALSE,48,2735,,G0020570,,,
692698287,3/22/2015 0:13,FALSE,1595546517,,3/22/2015 0:09,TRUE,clixsense,1,31565527,TUR,34,Istanbul,78.180.132.247,1,FALSE,48,2735,,G0020570,,,
692698245,3/22/2015 0:07,FALSE,1595544550,,3/22/2015 0:02,TRUE,neodev,1,28315076,VEN,,,190.206.88.164,1,FALSE,NA,2735,,G0020571,,,
692698245,3/22/2015 0:09,FALSE,1595544946,,3/22/2015 0:00,TRUE,neodev,1,31969790,MUS,17,Floréal,197.226.131.31,1,FALSE,48,2735,,G0020571,,,
692698245,3/22/2015 0:13,FALSE,1595546332,,3/22/2015 0:09,TRUE,clixsense,1,30517365,MAR,,,197.130.175.223,1,FALSE,48,2735,,G0020571,,,
692698245,3/22/2015 0:13,FALSE,1595546411,,3/22/2015 0:11,TRUE,clixsense,1,30959343,DOM,5,Santo Domingo,190.167.0.229,1,FALSE,48,2735,,G0020571,,,
692698245,3/22/2015 0:14,FALSE,1595546940,,3/22/2015 0:13,TRUE,elite,1,25409262,PAK,5,Karachi,182.178.47.87,1,FALSE,48,2735,,G0020571,,,
692698246,3/22/2015 0:03,TRUE,1595542413,,3/22/2015 0:00,TRUE,clixsense,1,9834199,ROU,14,Constanta,79.116.42.83,1,FALSE,NA,2735,1,G0030580,FALSE,NA,2735
692698246,3/22/2015 0:03,TRUE,1595542439,,3/22/2015 0:00,TRUE,clixsense,1,31336178,BIH,,,31.223.156.242,1,FALSE,NA,2735,1,G0030580,FALSE,NA,2735
692698246,3/22/2015 0:07,TRUE,1595544416,,3/22/2015 0:03,TRUE,clixsense,1,30367752,TUR,34,Istanbul,92.44.79.216,1,FALSE,NA,2735,1,G0030580,FALSE,NA,2735
692698246,3/22/2015 0:12,TRUE,1595546125,,3/22/2015 0:11,TRUE,clixsense,1,29592447,BIH,1,Sarajevo,217.197.143.101,1,FALSE,NA,2735,1,G0030580,FALSE,NA,2735
